n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
16,0,0.9956499869791168,11.72075022,81.93305492,82,37.0,25.93714523,0.15221753527293938,65.01054094752884
16,1,0.9977753595581997,11.56853268,105.33225584,101,37.0,26.00456047,0.15221753527293938,65.01054094752884
16,2,0.9967980819035842,10.95966254,94.30679297,90,37.0,25.70686722,0.15221753527293938,65.01054094752884
16,3,0.9980640377537076,11.41631515,91.92245722,97,37.0,26.07883644,0.15221753527293938,65.01054094752884
16,4,0.9975034620108669,11.41631515,94.93581295,90,37.0,26.00239754,0.15221753527293938,65.01054094752884
16,5,0.9947847838830164,11.41631515,128.39450240,102,37.0,26.04431915,0.15221753527293938,65.01054094752884
16,6,0.9974509596944894,11.56853268,105.58896947,86,37.0,25.77008057,0.15221753527293938,65.01054094752884
16,7,0.9956532944462908,10.50300993,124.97690749,97,37.0,26.13220978,0.15221753527293938,65.01054094752884
16,8,0.9979264191715183,11.72075022,125.33085275,100,37.0,25.29877472,0.15221753527293938,65.01054094752884
16,9,0.9980601780661954,11.56853268,90.26976943,90,37.0,26.04986954,0.15221753527293938,65.01054094752884
