n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
32,0,0.9971147903576699,22.23955108,286.24673843,187,57.0,0.09974374,0.1001781580350396,31.933163669399665
32,1,0.9964280440567594,23.84240161,293.48188591,185,57.0,0.09835409,0.1001781580350396,31.933163669399665
32,2,0.999053177476452,23.24133266,261.10445905,166,57.0,0.09659633,0.1001781580350396,31.933163669399665
32,3,0.9972869311398471,22.64026372,267.17939448,181,57.0,0.09556021,0.1001781580350396,31.933163669399665
32,4,0.9965334711265571,22.94079819,278.52470851,190,57.0,0.10009053,0.1001781580350396,31.933163669399665
32,5,0.9961557744227245,23.14115451,317.39715338,198,57.0,0.09903528,0.1001781580350396,31.933163669399665
32,6,0.9970510637498937,23.54186714,277.02868056,183,57.0,0.09905411,0.1001781580350396,31.933163669399665
32,7,0.9981824771553164,20.53652240,274.07091045,184,57.0,0.09773225,0.1001781580350396,31.933163669399665
32,8,0.9966333176877094,23.64204530,287.36446047,188,57.0,0.10004555,0.1001781580350396,31.933163669399665
32,9,0.9974366859052834,22.43990740,245.13132524,165,57.0,0.09684314,0.1001781580350396,31.933163669399665
