n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.9983789928425572,24.97908335,305.84256840,192,36.0,0.03689891,0.10072211028962641,94.24567610647047
36,1,0.995624489315921,25.18052757,352.37245917,211,36.0,0.03472940,0.10072211028962641,94.24567610647047
36,2,0.9964779217261117,26.59063712,303.75191998,185,36.0,0.03511577,0.10072211028962641,94.24567610647047
36,3,0.9988138602372374,25.68413812,323.57215548,192,36.0,0.03510109,0.10072211028962641,94.24567610647047
36,4,0.9973038109514074,25.78486023,329.66575503,203,36.0,0.03523110,0.10072211028962641,94.24567610647047
36,5,0.9971958345889198,26.79208134,299.87086868,183,36.0,0.03652251,0.10072211028962641,94.24567610647047
36,6,0.9973878767020384,26.38919290,351.45659947,200,36.0,0.03564825,0.10072211028962641,94.24567610647047
36,7,0.9980269188413897,26.59063712,248.22168708,159,36.0,0.03538831,0.10072211028962641,94.24567610647047
36,8,0.9931103896751163,26.28847079,290.89457750,186,36.0,0.03396621,0.10072211028962641,94.24567610647047
36,9,0.99631560097134,23.06536326,300.31236720,180,36.0,0.03465873,0.10072211028962641,94.24567610647047
