n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
16,0,0.9921813950818484,11.57741020,43.11995912,47,5.0,81.85180664,0.3405120646327109,97.8080603706193
16,1,0.9915095684519741,11.57741020,54.66314888,47,5.0,81.51098633,0.3405120646327109,97.8080603706193
16,2,0.9914466598541847,11.57741020,49.74990988,50,5.0,81.49899292,0.3405120646327109,97.8080603706193
16,3,0.9922467803112545,11.57741020,52.10531688,48,5.0,81.86071777,0.3405120646327109,97.8080603706193
16,4,0.991508043030129,11.57741020,55.86179161,54,5.0,81.51062012,0.3405120646327109,97.8080603706193
16,5,0.9922693273067342,11.57741020,45.08488274,48,5.0,81.50470734,0.3405120646327109,97.8080603706193
16,6,0.9923098101065926,11.57741020,52.61113238,48,5.0,81.86865234,0.3405120646327109,97.8080603706193
16,7,0.9910332391461903,11.57741020,50.73652267,46,5.0,81.49097443,0.3405120646327109,97.8080603706193
16,8,0.9922923525155654,11.57741020,54.98042631,49,5.0,81.86770630,0.3405120646327109,97.8080603706193
16,9,0.9914487224633877,11.57741020,54.30689907,44,5.0,81.49990845,0.3405120646327109,97.8080603706193
