n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.9877912571601069,22.30103911,96.52116013,79,6.0,19.65708923,0.3097366542788552,64.33824755479716
36,1,0.9914886919602623,25.08866900,100.26329255,88,6.0,20.57309723,0.3097366542788552,64.33824755479716
36,2,0.9850152227588195,26.01787896,114.67161965,91,6.0,20.05677986,0.3097366542788552,64.33824755479716
36,3,0.9905112374547782,23.23024907,117.29590893,88,6.0,20.53336716,0.3097366542788552,64.33824755479716
36,4,0.9798362033821386,26.63735227,99.13975406,89,6.0,18.56637192,0.3097366542788552,64.33824755479716
36,5,0.9872255512701266,25.39840565,107.48000312,87,6.0,20.27662468,0.3097366542788552,64.33824755479716
36,6,0.9796294596362045,25.39840565,114.19723606,90,6.0,19.90612411,0.3097366542788552,64.33824755479716
36,7,0.9866758397649109,21.68156580,96.45258141,85,6.0,20.42559242,0.3097366542788552,64.33824755479716
36,8,0.9825043006547683,26.01787896,78.66117406,74,6.0,21.97767258,0.3097366542788552,64.33824755479716
36,9,0.9845972951046852,22.61077576,132.56959176,87,6.0,21.03713226,0.3097366542788552,64.33824755479716
