n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
32,0,0.9948659116529823,22.35623425,256.01702142,172,62.0,0.10079600,0.10161924657739957,31.307662628333045
32,1,0.9972681685578586,20.93356479,291.62038326,191,62.0,0.11313063,0.10161924657739957,31.307662628333045
32,2,0.9978357694142422,21.13680329,286.12346578,188,62.0,0.11368085,0.10161924657739957,31.307662628333045
32,3,0.9973507379170585,22.25461500,330.89109945,187,62.0,0.10932629,0.10161924657739957,31.307662628333045
32,4,0.9974263663464582,22.76271123,268.89569402,183,62.0,0.11176455,0.10161924657739957,31.307662628333045
32,5,0.9963434882878881,23.67728445,278.90327930,177,62.0,0.11080807,0.10161924657739957,31.307662628333045
32,6,0.9968639057105604,23.27080747,305.67127252,190,62.0,0.11286525,0.10161924657739957,31.307662628333045
32,7,0.9978075505168846,20.32384932,286.55390978,195,62.0,0.11414810,0.10161924657739957,31.307662628333045
32,8,0.9963626504662225,21.64489952,237.24700785,161,62.0,0.11308140,0.10161924657739957,31.307662628333045
32,9,0.9966244705889024,23.57566521,277.93715358,189,62.0,0.11371981,0.10161924657739957,31.307662628333045
