n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
32,0,0.9941665970405403,18.34150346,119.51564646,104,37.0,11.24072266,0.22098196940753834,56.78537861186467
32,1,0.9965650609870988,18.78346740,133.06925654,128,37.0,11.54211426,0.22098196940753834,56.78537861186467
32,2,0.992297808206274,18.34150346,138.31910014,124,37.0,11.01982117,0.22098196940753834,56.78537861186467
32,3,0.9927203644266953,18.56248543,120.07055449,115,37.0,10.41545105,0.22098196940753834,56.78537861186467
32,4,0.9925374398421851,18.12052149,116.54261947,112,37.0,11.07149982,0.22098196940753834,56.78537861186467
32,5,0.995135931356814,19.00444937,123.19313049,106,37.0,11.37037277,0.22098196940753834,56.78537861186467
32,6,0.9934718593605232,18.34150346,144.20813084,110,37.0,11.02116966,0.22098196940753834,56.78537861186467
32,7,0.989424599090414,18.12052149,119.89362216,111,37.0,11.00513268,0.22098196940753834,56.78537861186467
32,8,0.9916765454368487,18.34150346,116.76043916,110,37.0,11.16040230,0.22098196940753834,56.78537861186467
32,9,0.9890169258530636,18.78346740,113.53115201,106,37.0,10.25480938,0.22098196940753834,56.78537861186467
