n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.993958884374421,24.97266665,289.35635471,178,48.0,0.02814730,0.10110391354306746,78.28856466270737
36,1,0.9962256141350159,25.27597839,270.36068249,167,48.0,0.02561536,0.10110391354306746,78.28856466270737
36,2,0.9986342671182166,26.79253709,316.47822046,195,48.0,0.03439854,0.10110391354306746,78.28856466270737
36,3,0.9957639853839583,23.45610794,304.01532674,178,48.0,0.03377474,0.10110391354306746,78.28856466270737
36,4,0.9920562700993358,26.08480969,287.86385393,183,48.0,0.03018084,0.10110391354306746,78.28856466270737
36,5,0.9949607487563252,24.97266665,279.94783258,178,48.0,0.03399504,0.10110391354306746,78.28856466270737
36,6,0.9902034066394716,23.86052360,264.68858314,170,48.0,0.03380780,0.10110391354306746,78.28856466270737
36,7,0.9948915472678603,25.68039404,266.15613866,167,48.0,0.03100178,0.10110391354306746,78.28856466270737
36,8,0.9966505437154123,22.54617272,296.22429132,184,48.0,0.03107307,0.10110391354306746,78.28856466270737
36,9,0.9958607947898768,23.86052360,268.02976871,167,48.0,0.02889669,0.10110391354306746,78.28856466270737
