n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.9555857512577461,26.06158350,59.24939966,59,1.0,64.51728821,0.6205138928613259,60.87900607715683
36,1,0.9587259191412645,26.06158350,56.48994231,55,1.0,65.32518005,0.6205138928613259,60.87900607715683
36,2,0.9630812561633266,26.06158350,87.37137842,63,1.0,67.26253510,0.6205138928613259,60.87900607715683
36,3,0.960044708406268,26.06158350,68.44222760,64,1.0,65.94255829,0.6205138928613259,60.87900607715683
36,4,0.9633468268942585,26.06158350,86.38386607,73,1.0,67.40681458,0.6205138928613259,60.87900607715683
36,5,0.9563761925370777,25.44106961,64.83482909,65,1.0,61.27682495,0.6205138928613259,60.87900607715683
36,6,0.9576294778442223,26.06158350,89.74172187,80,1.0,65.03426361,0.6205138928613259,60.87900607715683
36,7,0.9584239494245176,26.06158350,76.95157242,75,1.0,65.30290985,0.6205138928613259,60.87900607715683
36,8,0.9583493515187782,25.44106961,64.32783532,61,1.0,62.06268311,0.6205138928613259,60.87900607715683
36,9,0.9602834553400621,26.06158350,62.60650969,67,1.0,66.31043243,0.6205138928613259,60.87900607715683
