,max_fidelity,ttime,cpu_time,generations,max_fitness,b,dt
mean,0.9957308084891137,11.423863814000002,107.625034666,91.7,21.43051014,76.93173616517711,0.141384453145253
std,0.001837757766144473,0.38170893058956845,25.802140452420748,7.717944458640958,0.07993967126966746,1.4979556132593925e-14,0.0
max,0.9973977614976651,11.73490961,169.42466688,102.0,21.50637054,76.93173616517713,0.141384453145253
