n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
24,0,0.9932831140531361,13.76881004,143.35809350,110,9.0,14.56212997,0.18116855322302905,47.19050084206358
24,1,0.9950151282865276,13.76881004,104.40404272,94,9.0,14.55388069,0.18116855322302905,47.19050084206358
24,2,0.9937829068449662,15.03698992,97.79702401,103,9.0,14.60022545,0.18116855322302905,47.19050084206358
24,3,0.9931791429207025,17.39218111,107.74838829,97,9.0,14.23427486,0.18116855322302905,47.19050084206358
24,4,0.9930974001669488,13.76881004,113.08099270,100,9.0,14.42275429,0.18116855322302905,47.19050084206358
24,5,0.9959309289597572,17.57334966,99.56065392,102,9.0,14.68440723,0.18116855322302905,47.19050084206358
24,6,0.9924422880725599,13.76881004,95.91215515,97,9.0,14.69104958,0.18116855322302905,47.19050084206358
24,7,0.9943848565518718,16.48633834,115.37780190,92,9.0,14.69054127,0.18116855322302905,47.19050084206358
24,8,0.9950806716151137,17.02984400,101.02135754,92,9.0,14.31970310,0.18116855322302905,47.19050084206358
24,9,0.9931616548252988,13.76881004,146.01799393,110,9.0,14.72039986,0.18116855322302905,47.19050084206358
