n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
16,0,0.9947879427342865,10.88161856,93.13788819,69,19.0,42.25649261,0.1943146170948672,35.87136847250406
16,1,0.9956870298813538,10.88161856,69.37015748,61,19.0,42.29738235,0.1943146170948672,35.87136847250406
16,2,0.9936424631168873,11.07593317,90.73595190,71,19.0,42.38352203,0.1943146170948672,35.87136847250406
16,3,0.9943317977565443,10.68730394,85.60682631,70,19.0,42.29015732,0.1943146170948672,35.87136847250406
16,4,0.9949762176739025,11.07593317,94.65210056,78,19.0,42.32258987,0.1943146170948672,35.87136847250406
16,5,0.993625604127368,10.68730394,65.69572687,56,19.0,42.28644562,0.1943146170948672,35.87136847250406
16,6,0.9946328121383953,10.88161856,72.68025470,64,19.0,42.36339951,0.1943146170948672,35.87136847250406
16,7,0.9944772676117997,11.07593317,75.39514446,67,19.0,42.27569199,0.1943146170948672,35.87136847250406
16,8,0.9950918189348694,11.07593317,58.06195354,59,19.0,42.39825439,0.1943146170948672,35.87136847250406
16,9,0.9914590098465976,10.88161856,82.78760338,68,19.0,40.98953247,0.1943146170948672,35.87136847250406
