n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
16,0,0.9954094531416599,11.54234302,120.45372772,98,10.0,8.93694305,0.10787236471219996,65.42132038075859
16,1,0.9961941048789904,11.21872593,158.73418021,108,10.0,8.98202229,0.10787236471219996,65.42132038075859
16,2,0.996010726063286,11.32659829,114.62580299,98,10.0,8.95988846,0.10787236471219996,65.42132038075859
16,3,0.9944634457046666,11.65021539,136.79429436,101,10.0,8.95051956,0.10787236471219996,65.42132038075859
16,4,0.9958527005727016,11.11085357,121.23570704,106,10.0,8.95194817,0.10787236471219996,65.42132038075859
16,5,0.9951340744213697,11.32659829,99.79628444,93,10.0,8.96080399,0.10787236471219996,65.42132038075859
16,6,0.9955112008595792,11.32659829,202.81360030,117,10.0,8.96209335,0.10787236471219996,65.42132038075859
16,7,0.9962973469920451,11.32659829,110.55813932,95,10.0,8.94969559,0.10787236471219996,65.42132038075859
16,8,0.9957445242718593,11.11085357,119.21335816,100,10.0,8.94750118,0.10787236471219996,65.42132038075859
16,9,0.9955756389310704,11.21872593,153.77054405,101,10.0,8.96390152,0.10787236471219996,65.42132038075859
