n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.9952028290826933,25.57529979,299.14865732,192,21.0,0.04699017,0.10354372383408537,80.23512717696104
36,1,0.9928506321662702,26.30010585,328.12304568,186,21.0,0.04561950,0.10354372383408537,80.23512717696104
36,2,0.9892226493644939,23.91860021,346.16582561,194,21.0,0.03785054,0.10354372383408537,80.23512717696104
36,3,0.9939279775817694,23.40088159,294.69590425,187,21.0,0.03710354,0.10354372383408537,80.23512717696104
36,4,0.9931082612315681,26.50719330,279.72656012,181,21.0,0.04646380,0.10354372383408537,80.23512717696104
36,5,0.9942161090662994,26.30010585,278.99264884,180,21.0,0.04255868,0.10354372383408537,80.23512717696104
36,6,0.993865046836365,26.09301841,322.41270995,198,21.0,0.04219683,0.10354372383408537,80.23512717696104
36,7,0.9907712824492584,26.81782447,264.46053672,171,21.0,0.04156791,0.10354372383408537,80.23512717696104
36,8,0.9969882999100956,25.36821234,309.12686205,195,21.0,0.04383099,0.10354372383408537,80.23512717696104
36,9,0.9928227390486278,25.57529979,330.68767357,204,21.0,0.04569659,0.10354372383408537,80.23512717696104
