Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,action_set,batch_size,chain_length,coupling,dropout,epsilon,epsilon_increment,fc1_dims,fc2_dims,field_strength,gamma,learning_rate,max_t_steps,memory_size,n_actions,number_of_episodes,number_of_features,prioritized_experience_replay,replace_target_iter,reward_function,tolerance,tstep_length,avg_Qvalue,binned_Qvalue,binned_epsilon,binned_final_fid,binned_max_fid,binned_time_final_fid,binned_time_max_fid,epsilon_increment,fc1_dims,learning_rate,max_fid,soft_success_training_rate,true_success_training_rate,reward_function,prioritized,action set,chain_length
2025-06-10 15:31:06,2.1s,4ad5f9c164564d8197cb33a7af1a708a,trial_21,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.021906508358036796,397,120,100,0.95,0.00695196764909188,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1932.3321315392786,2557.748441195,0.99,0.38305204,0.516040195,40,32.5,,,,0.9646530793702889,0.017901748542880933,0.0016652789342214821,site evolution,prioritized,oaps,8
2025-06-10 15:28:41,6.2s,bd11202301bd428bba28f0b006943565,trial_7,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.00014499358998491224,491,120,100,0.95,0.08910632052213452,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,2589.738098019461,1047.119617795,0.99,0.211623785,0.211623785,40,38,,,,0.9695990837991582,0.09707589765641797,0.009567834874220598,site evolution,prioritized,oaps,8
2025-06-10 15:30:31,1.5s,77b0083f43dd4f1bb20b2d67f3cec33b,trial_25,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0006680805158777527,228,120,100,0.95,0.010293853226097709,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1142.4408949629951,2661.96999316,0.99,0.07558175,0.07558175,40,38,,,,0.9558533753231966,0.005449591280653951,0.0009082652134423251,site evolution,prioritized,oaps,8
2025-06-10 15:27:32,1.6s,b4be6510e87849ccae55e0e6fa9e9d74,trial_31,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0036833689999023677,174,120,100,0.95,0.04844087410015569,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,2513.8224550543187,2895.632210695,0.99,0.01750351,0.062323305,40,29.5,,,,0.9748464056173379,0.07637401855817273,0.011063526052819414,site evolution,prioritized,oaps,8
2025-06-10 15:29:27,0.9s,31c22392a105494dbaa86723db718de2,trial_46,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.00887237265486685,558,120,100,0.95,0.05242525837747572,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,905.6740235513344,2633.96240398,0.99,0.04782532,0.04782532,40,38,,,,0.8392412442232073,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:26:42,24.9s,f6b76dba3ec243d5926e8edee150379d,trial_2,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.00029138402641857664,344,120,100,0.95,2.1147940645179796e-05,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,2920.831583301461,2649.252599641522,0.99,0.014448872173913042,0.044303902826086955,40,29.02173913043478,,,,0.9732533296414211,0.09061663269791792,0.018602885345482156,site evolution,prioritized,oaps,8
2025-06-10 15:28:53,1.8s,a96002ea140e48b6a49c93c58fa5e7ed,trial_20,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.08965289032568345,206,120,100,0.95,0.04663991619244072,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,2394.7693041023194,2774.37689026,0.99,0.00506566,0.04254289,40,29,,,,0.9539443008731207,0.029989289539450195,0.0007140307033202428,site evolution,prioritized,oaps,8
2025-06-10 15:29:55,1.0s,e1b30eeeb7d74f88a4aaa270656c7fbc,trial_28,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0020837877509754413,274,120,100,0.95,0.0017310368093601206,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,2135.5996391620265,2234.72789625,0.99,0.03950211,0.04089046,40,37,,,,0.27788580186983436,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:49,2.4s,e801ffb3b1924ffc89c65780871d2ce3,trial_11,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.001900061085195145,89,120,100,0.95,0.003177263608279215,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,2957.311797809014,2959.80136827,0.99,0.03281469,0.03281469,40,38,,,,0.9578767146135934,0.022492970946579195,0.001562011871290222,site evolution,prioritized,oaps,8
2025-06-10 15:27:35,482ms,5ba3b0cc1d43483fb6d23fdd3a0f392d,trial_48,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.09131420650674742,40,120,100,0.95,0.007635114994349237,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,803.9802320859403,795.29838894,0.99,0.01816915,0.01816915,40,38,,,,0.043447800516284926,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:22,1.1s,6daec977cfb84b0da5c075a0e6204e8c,trial_42,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.05161956328537124,896,120,100,0.95,0.0210652395018192,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1586.18466541787,1850.18285099,0.99,0.01434216,0.01434216,40,38,,,,0.9177181038435055,0.0018165304268846503,0,site evolution,prioritized,oaps,8
2025-06-10 15:29:26,410ms,e0732de4b7e94a4cb2a243b3b6d54ea9,trial_26,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0124429706579567,563,120,100,0.95,0.03508244158817595,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,875.7573435446897,875.75734354,0,0.00333766,0.00333766,40,38,,,,0.0033376618449871263,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:29:54,408ms,06b3517a8eed4f4da240078d0fa409cd,trial_22,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.032424846273659685,413,120,100,0.95,0.01207279374668401,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1146.8600863222478,1146.86008632,0,0.00071068,0.0033232,40,37,,,,0.003323201181426195,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:27:34,332ms,0bcac09fd2094ebe8ec60311a0b79bb1,trial_6,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,5.666755027367462e-05,604,120,100,0.95,0.00010110524090258884,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1091.1291046125925,1091.12910461,0,0.00106573,0.00257298,40,33,,,,0.0025729762015621006,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:26:42,0.5s,84eaf0dd180e4c26b970f92a71adfb79,trial_36,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0001042362027625256,721,120,100,0.95,0.008987918095606989,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1372.901788943788,1372.90178894,0,0.00033814,0.00245152,40,34,,,,0.0024515211726470055,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:29:56,353ms,efef21a8b593492cb1750da2358e6ad3,trial_44,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0001527847323017876,640,120,100,0.95,0.004125018621070866,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1369.428131602026,1369.4281316,0,0.00216052,0.00216052,40,38,,,,0.0021605233917990634,0,0,site evolution,prioritized,oaps,8
