n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.9887136758226137,26.36979053,147.74140859,124,27.0,2.56986284,0.18061500364499242,89.70210154132323
36,1,0.9930856336226834,24.74425550,157.10024047,130,27.0,2.66600513,0.18061500364499242,89.70210154132323
36,2,0.9925181503612195,25.46671551,155.84012747,128,27.0,2.64940453,0.18061500364499242,89.70210154132323
36,3,0.9909588575675756,24.74425550,206.56462812,158,27.0,2.56656432,0.18061500364499242,89.70210154132323
36,4,0.9869452858858015,26.55040554,163.24148059,136,27.0,2.51365089,0.18061500364499242,89.70210154132323
36,5,0.990988714443997,26.55040554,179.40661526,143,27.0,2.68900681,0.18061500364499242,89.70210154132323
36,6,0.9928956710754713,25.28610051,201.50192761,148,27.0,2.67857361,0.18061500364499242,89.70210154132323
36,7,0.9940591997876844,24.56364050,153.23563170,124,27.0,2.72221994,0.18061500364499242,89.70210154132323
36,8,0.9919950533327464,25.10548551,138.70946479,118,27.0,2.70549488,0.18061500364499242,89.70210154132323
36,9,0.9912010381878739,26.73102054,144.09775329,120,27.0,2.65578341,0.18061500364499242,89.70210154132323
