,max_fidelity,ttime,cpu_time,generations,max_fitness,b,dt
mean,0.9936060579089661,25.103774277000003,301.663294625,188.3,0.032800357,80.16021320123912,0.10134749405442238
std,0.0015311327534495577,1.208686603026739,23.499878997755665,14.15823278363354,0.0027831254911102688,0.0,1.4628472785736255e-17
max,0.9958279503459575,26.85708592,354.72811103,222.0,0.03739935,80.16021320123912,0.1013474940544224
