,max_fidelity,ttime,cpu_time,generations,max_fitness,b,dt
mean,0.9971338532456617,11.390995818,111.894991495,98.4,25.321632956000002,65.89412947267941,0.1498815239162014
std,0.002135663646156404,0.3671332558521548,16.473624715312297,8.275801404630785,0.2512804022152621,0.0,0.0
max,0.9994653850198048,11.84064039,133.49609256,109.0,25.62137985,65.89412947267941,0.1498815239162014
