,max_fidelity,ttime,cpu_time,generations,max_fitness,b,dt
mean,0.994218770162486,25.390685135000002,293.027235984,182.0,0.045216067,82.915783698262,0.10367776698652531
std,0.0016889154266557206,1.2105116220420733,26.119909970797245,13.767917618708921,0.002681293480567624,1.4979556132593925e-14,0.0
max,0.9962364031562652,26.74886388,335.47396016,205.0,0.04759394,82.91578369826202,0.10367776698652531
