n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
24,0,0.9961348622034785,16.43053559,143.33180165,131,38.0,5.13991261,0.13924182705529006,25.023963559037483
24,1,0.9984725111035124,17.12674473,150.74390292,118,38.0,5.00487757,0.13924182705529006,25.023963559037483
24,2,0.9974575951287812,17.26598655,138.97231078,126,38.0,5.02507830,0.13924182705529006,25.023963559037483
24,3,0.9966367071696629,16.84826107,176.23622489,136,38.0,5.13367748,0.13924182705529006,25.023963559037483
24,4,0.9981091670969975,17.12674473,138.42416811,126,38.0,5.11887503,0.13924182705529006,25.023963559037483
24,5,0.9972957718519111,16.70901925,131.95485282,117,38.0,5.05413580,0.13924182705529006,25.023963559037483
24,6,0.9975914039989333,14.89887549,157.54957819,125,38.0,5.12764645,0.13924182705529006,25.023963559037483
24,7,0.9947208676510628,17.12674473,143.99828982,122,38.0,5.03889608,0.13924182705529006,25.023963559037483
24,8,0.9977336008776252,16.70901925,134.53515768,121,38.0,5.08235788,0.13924182705529006,25.023963559037483
24,9,0.9978831662403201,17.54447021,173.58072138,121,38.0,5.18963623,0.13924182705529006,25.023963559037483
