n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.9883597683507654,24.20742106,118.18462706,104,14.0,7.36253548,0.2241427875521489,76.45937577983489
36,1,0.987966206849308,23.08670712,109.98072910,102,14.0,7.29094219,0.2241427875521489,76.45937577983489
36,2,0.986237031428979,24.43156384,127.04404497,106,14.0,7.17608166,0.2241427875521489,76.45937577983489
36,3,0.9840908188551183,23.75913548,107.91267943,99,14.0,7.16332197,0.2241427875521489,76.45937577983489
36,4,0.9885771302068862,24.65570663,102.96106172,94,14.0,7.26931000,0.2241427875521489,76.45937577983489
36,5,0.977333743458774,26.67299172,123.34424853,106,14.0,7.25187683,0.2241427875521489,76.45937577983489
36,6,0.9753229625594745,25.10399221,124.42984986,110,14.0,7.17922211,0.2241427875521489,76.45937577983489
36,7,0.991511049411008,25.55227778,127.43242598,109,14.0,7.09430695,0.2241427875521489,76.45937577983489
36,8,0.9810596000176062,23.31084991,110.64192748,98,14.0,7.14629650,0.2241427875521489,76.45937577983489
36,9,0.9881842170817758,26.67299172,136.15201044,105,14.0,7.62261391,0.2241427875521489,76.45937577983489
