n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
64,0,0.9806618817096788,38.42185866,548.66430497,234,31.0,0.00014392,0.11678376492794178,17.08502870975168
64,1,0.9795368244030177,36.55331842,490.96543336,222,31.0,0.00013824,0.11678376492794178,17.08502870975168
64,2,0.985934906680756,40.64075019,470.69084263,207,31.0,0.00015940,0.11678376492794178,17.08502870975168
64,3,0.9793237368476493,41.10788525,482.54394150,225,31.0,0.00011307,0.11678376492794178,17.08502870975168
64,4,0.9856312466221542,42.04215537,482.82431841,222,31.0,0.00015805,0.11678376492794178,17.08502870975168
64,5,0.9772663712849974,41.34145278,477.10713339,226,31.0,0.00012245,0.11678376492794178,17.08502870975168
64,6,0.9742487787420038,40.29039890,491.70749211,228,31.0,0.00014956,0.11678376492794178,17.08502870975168
64,7,0.9829033496735223,37.13723725,450.58648968,208,31.0,0.00017251,0.11678376492794178,17.08502870975168
64,8,0.9881236104910263,39.47291255,459.24483657,214,31.0,0.00013049,0.11678376492794178,17.08502870975168
64,9,0.9761387122482698,38.53864243,466.96410131,216,31.0,0.00013350,0.11678376492794178,17.08502870975168
