n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
64,0,0.9795684018310482,45.84352013,313.73460531,181,21.0,0.01623097,0.16792498216045185,19.25919032602617
64,1,0.9859100055839617,40.80577066,294.60982871,172,21.0,0.01411910,0.16792498216045185,19.25919032602617
64,2,0.986616663246331,41.98124554,309.07684278,180,21.0,0.01872274,0.16792498216045185,19.25919032602617
64,3,0.9827195306442853,45.33974518,282.55622172,166,21.0,0.01156302,0.16792498216045185,19.25919032602617
64,4,0.9887413577541788,40.63784568,330.73189330,183,21.0,0.01931631,0.16792498216045185,19.25919032602617
64,5,0.9894815398061589,39.96614575,347.36300135,194,21.0,0.01522165,0.16792498216045185,19.25919032602617
64,6,0.9865284473836076,47.35484497,340.72441864,202,21.0,0.01623277,0.16792498216045185,19.25919032602617
64,7,0.9826041002363577,39.46237081,272.58316660,163,21.0,0.01439810,0.16792498216045185,19.25919032602617
64,8,0.9878477350081282,44.83597024,359.09951258,194,21.0,0.01603793,0.16792498216045185,19.25919032602617
64,9,0.9856394634294563,45.17182020,341.14039207,187,21.0,0.01768821,0.16792498216045185,19.25919032602617
