n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
36,0,0.9961995742222578,26.75193669,323.61848092,208,31.0,0.07636986,0.10874771014166225,80.83016888704
36,1,0.9930221258224643,25.99070272,282.58240938,171,31.0,0.06964095,0.10874771014166225,80.83016888704
36,2,0.995741998920049,25.33821646,323.83064866,209,31.0,0.07388349,0.10874771014166225,80.83016888704
36,3,0.9935039798826476,26.31694585,275.95633340,175,31.0,0.07328513,0.10874771014166225,80.83016888704
36,4,0.9935168304385278,25.99070272,270.08888173,177,31.0,0.07373036,0.10874771014166225,80.83016888704
36,5,0.991836513172067,25.44696417,292.19618487,184,31.0,0.07443330,0.10874771014166225,80.83016888704
36,6,0.9975854874110032,24.57698249,253.84826612,169,31.0,0.07317424,0.10874771014166225,80.83016888704
36,7,0.9960186810041318,24.57698249,299.73035407,189,31.0,0.07290408,0.10874771014166225,80.83016888704
36,8,0.9948653640481893,26.75193669,288.42630601,176,31.0,0.06959197,0.10874771014166225,80.83016888704
36,9,0.9939179370862875,26.75193669,288.91009188,187,31.0,0.07351150,0.10874771014166225,80.83016888704
