n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
16,0,0.9952657274174987,11.11483934,138.80181813,109,12.0,16.58246040,0.12924231795449176,58.45762872943047
16,1,0.9953678188051145,11.50256630,89.42908692,88,12.0,16.54481888,0.12924231795449176,58.45762872943047
16,2,0.9955721010809764,11.76105093,106.13480783,95,12.0,16.53611755,0.12924231795449176,58.45762872943047
16,3,0.9942114713318781,11.63180862,81.88776374,83,12.0,16.46942139,0.12924231795449176,58.45762872943047
16,4,0.9968536677410571,11.11483934,113.01238060,98,12.0,16.57571411,0.12924231795449176,58.45762872943047
16,5,0.9957468067344264,11.63180862,105.25810409,96,12.0,16.57666969,0.12924231795449176,58.45762872943047
16,6,0.9958066156133292,11.50256630,115.57330394,90,12.0,16.58968163,0.12924231795449176,58.45762872943047
16,7,0.9950543575159437,10.85635471,105.27199030,95,12.0,16.61363220,0.12924231795449176,58.45762872943047
16,8,0.9967592783698989,11.76105093,95.77014065,84,12.0,16.55680084,0.12924231795449176,58.45762872943047
16,9,0.995013396763846,11.50256630,134.86908388,92,12.0,16.51759148,0.12924231795449176,58.45762872943047
