n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
24,0,0.9978913224133492,17.41854726,197.15380788,163,15.0,1.18225467,0.10621065405107255,24.06353227392735
24,1,0.9978860892154039,17.63096857,172.16410279,144,15.0,1.22265446,0.10621065405107255,24.06353227392735
24,2,0.997371105054246,17.52475792,193.58841372,147,15.0,1.17788863,0.10621065405107255,24.06353227392735
24,3,0.997268665209947,17.20612596,202.67555475,160,15.0,1.20552242,0.10621065405107255,24.06353227392735
24,4,0.9983374545394662,15.29433418,187.21848989,143,15.0,1.15383518,0.10621065405107255,24.06353227392735
24,5,0.9980413477392974,15.08191288,259.79520345,154,15.0,1.18105328,0.10621065405107255,24.06353227392735
24,6,0.9976354641695903,17.41854726,222.14823103,155,15.0,1.18787301,0.10621065405107255,24.06353227392735
24,7,0.997130597885677,17.63096857,178.84973478,142,15.0,1.18096673,0.10621065405107255,24.06353227392735
24,8,0.9981369941734685,17.09991530,169.58880877,141,15.0,1.20306242,0.10621065405107255,24.06353227392735
24,9,0.9953023361968404,17.52475792,198.22815776,144,15.0,1.19952083,0.10621065405107255,24.06353227392735
