n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
24,0,0.9978599267706482,17.40445520,188.32971525,144,17.0,0.84012306,0.10002560460677343,78.33068146094551
24,1,0.9945354590723423,15.50396871,201.39821029,144,17.0,0.83412975,0.10002560460677343,78.33068146094551
24,2,0.9952197889837421,17.70453202,178.78909230,141,17.0,0.84639502,0.10002560460677343,78.33068146094551
24,3,0.9949620057524605,17.40445520,195.82467532,150,17.0,0.83543527,0.10002560460677343,78.33068146094551
24,4,0.9979618634367817,17.40445520,195.06204295,148,17.0,0.83953166,0.10002560460677343,78.33068146094551
24,5,0.997671999870641,17.50448081,184.33147478,145,17.0,0.83415991,0.10002560460677343,78.33068146094551
24,6,0.9936401304233817,16.40419916,164.89380527,129,17.0,0.83631420,0.10002560460677343,78.33068146094551
24,7,0.9944728520966413,15.90407113,171.57794476,140,17.0,0.84641814,0.10002560460677343,78.33068146094551
24,8,0.9925372875634619,16.90432718,221.18808866,164,17.0,0.84139669,0.10002560460677343,78.33068146094551
24,9,0.9930892105002416,17.60450641,196.31605268,150,17.0,0.83847320,0.10002560460677343,78.33068146094551
