,max_fidelity,ttime,cpu_time,generations,max_fitness,b,dt
mean,0.980338423979895,37.579416191,393.505681038,198.3,0.00150677,10.866182408052735,0.13725133744395943
std,0.004929804531993127,1.5457964662085555,35.79866062252788,16.275748830699005,0.00014029737512393685,0.0,0.0
max,0.9887683303943102,41.17540123,450.76489401,218.0,0.00175557,10.866182408052735,0.13725133744395943
