n,sample_index,max_fidelity,ttime,cpu_time,generations,trial_index,max_fitness,dt,b
64,0,0.9761952986742641,40.98552206,261.96660733,154,28.0,0.04940048,0.18714850255825938,18.158332600339975
64,1,0.9884867096986744,44.54134361,278.04723215,174,28.0,0.05187508,0.18714850255825938,18.158332600339975
64,2,0.9860379424844326,43.41845259,297.83178926,175,28.0,0.04151921,0.18714850255825938,18.158332600339975
64,3,0.9756245066747865,46.41282863,260.78955460,162,28.0,0.04971585,0.18714850255825938,18.158332600339975
64,4,0.9839531149640335,46.22568013,305.21857309,171,28.0,0.04692879,0.18714850255825938,18.158332600339975
64,5,0.9798931065360903,43.60560110,261.48445535,162,28.0,0.04830562,0.18714850255825938,18.158332600339975
64,6,0.9789085391856065,41.17267056,270.29023790,166,28.0,0.05212936,0.18714850255825938,18.158332600339975
64,7,0.982871565807949,40.23692805,259.24580884,159,28.0,0.03833345,0.18714850255825938,18.158332600339975
64,8,0.9833779812364016,40.23692805,265.08929491,163,28.0,0.04602504,0.18714850255825938,18.158332600339975
64,9,0.9877275982709939,42.10841308,264.48078370,163,28.0,0.04688583,0.18714850255825938,18.158332600339975
